CCODE,Country,EVI,Exposure index,Population,Remoteness,Share of population in low elevated coastal zones ,Economic structure index,Export concentration,Shares of agriculture and forestry and fisheries,Shock index,Natural Shock index,Victims of natural disasters (%),Agricultural instability,Export instability,HAI,Health index,Prevalence of undernourishment  in total population (%),Under 5 mortality (per 1000),Maternal mortality (per 100 000 live birth),Education index,Literacy rate,Gross secondary enrolment ratio,GNI per capita ($)
AFG,Afghanistan,39.3,25.2,34656032.00,4057.72,0.00,32.50,0.32,23.89,53.41,54.37,1.69,7.45,20.74,48.37,66.89,23.00,70.40,396.14,29.85,31.74,55.64,632.65
DZA,Algeria,14.7,12.0,40606052.00,2325.02,0.76,31.90,0.49,11.83,17.33,34.66,0.07,7.88,4.15,88.26,93.17,4.60,25.20,139.62,83.35,75.14,99.86,4901.56
AGO,Angola,36.8,35.2,28813463.00,6335.08,1.44,55.43,0.93,8.62,38.29,50.57,0.68,8.27,12.80,52.52,67.19,14.00,82.50,476.98,37.85,66.03,28.90,4476.88
ATG,Antigua and Barbuda,38.6,53.1,100963.00,5320.91,11.83,27.65,0.56,1.84,24.02,47.88,2.15,4.46,5.05,92.87,86.45,26.70,8.50,58.58,99.30,98.95,102.71,12903.16
ARG,Argentina,24.3,30.1,43847430.00,9484.87,3.03,10.69,0.19,7.20,18.57,35.41,0.22,5.37,5.52,98.59,98.46,3.60,11.10,52.39,98.73,98.09,106.78,13156.53
ARM,Armenia,31.2,27.3,2924816.00,2929.50,0.00,23.87,0.25,18.72,35.15,45.52,0.65,6.49,12.43,96.09,98.75,4.40,13.40,25.33,93.44,99.74,88.50,3988.37
AZE,Azerbaijan,31.2,29.3,9725376.00,3190.68,0.00,44.74,0.79,6.15,33.20,38.62,0.57,4.28,13.33,97.54,95.22,2.50,30.90,25.07,99.86,99.79,100.30,6447.23
BHS,Bahamas,39.1,54.5,391232.00,5275.14,20.28,24.32,0.51,0.94,23.81,47.62,0.54,7.70,4.08,93.99,95.01,10.00,10.60,80.01,92.97,95.60,92.63,29563.46
BHR,Bahrain,34.9,52.3,1425171.00,3949.64,34.28,14.10,0.34,0.32,17.55,28.65,0.00,12.10,6.93,98.04,99.72,5.00,7.60,15.18,96.37,94.56,102.13,22778.52
BGD,Bangladesh,25.2,22.8,162951560.00,4204.77,8.92,30.22,0.41,15.39,27.60,48.24,3.97,3.09,7.09,73.15,84.73,15.10,34.20,176.14,61.57,72.76,63.52,1274.08
