idCurso	idEstudiante	periodo	nota	idInstructor
1	1	201801	7	6
1	2	201801	8	6
1	3	201801	9	6
1	4	201801	2	6
2	1	201801	5	3
2	2	201801	17	3
2	3	201801	11	3
2	4	201801	18	3
3	1	201801	3	2
3	2	201801	2	2
3	3	201801	7	2
3	4	201801	14	2
4	1	201801	0	1
4	2	201801	3	1
4	3	201801	10	1
4	4	201801	19	1
1	5	201801	0	6
1	6	201801	16	6
1	7	201801	5	6
1	8	201801	10	6
5	5	201801	7	1
5	6	201801	3	1
5	7	201801	3	1
5	8	201801	6	1
6	5	201801	15	5
6	6	201801	9	5
6	7	201801	7	5
6	8	201801	10	5
1	9	201901	13	6
1	10	201901	4	6
1	11	201901	15	6
1	12	201901	19	6
5	9	201901	14	1
5	10	201901	20	1
5	11	201901	0	1
5	12	201901	16	1
6	9	201901	13	5
6	10	201901	5	5
6	11	201901	5	5
6	12	201901	9	5
1	1	201901	6	6
1	5	201901	1	6
1	9	201901	16	6
1	13	201901	11	6
5	1	201901	0	1
5	5	201901	13	1
5	9	201901	18	1
5	13	201901	18	1
6	1	201901	14	5
6	5	201901	8	5
6	9	201901	2	5
6	13	201901	12	5
7	1	201901	14	6
7	5	201901	18	6
7	9	201901	7	6
7	13	201901	12	6
