producto;tramo_negocio;periodo;DTR;cliente;target;tipo
Producto A;Tramo 1;202201;Grupo 1;387;0.033591731;Actual
Producto A;Tramo 1;202201;Grupo 2;912;0.057017544;Actual
Producto A;Tramo 1;202201;Grupo 3;1061;0.110273327;Actual
Producto A;Tramo 1;202201;Grupo 4;195;0.271794872;Actual
Producto A;Tramo 1;202201;Grupo 5;22;0.545454545;Actual
Producto A;Tramo 1;202202;Grupo 1;1542;0.00843061;Actual
Producto A;Tramo 1;202202;Grupo 2;2536;0.021293375;Actual
Producto A;Tramo 1;202202;Grupo 3;2580;0.082945736;Actual
Producto A;Tramo 1;202202;Grupo 4;434;0.223502304;Actual
Producto A;Tramo 1;202202;Grupo 5;43;0.348837209;Actual
Producto A;Tramo 1;202203;Grupo 1;363;0.035812672;Actual
Producto A;Tramo 1;202203;Grupo 2;608;0.049342105;Actual
Producto A;Tramo 1;202203;Grupo 3;856;0.117990654;Actual
Producto A;Tramo 1;202203;Grupo 4;200;0.225;Actual
Producto A;Tramo 1;202203;Grupo 5;32;0.53125;Actual
Producto A;Tramo 1;202204;Grupo 1;556;0.019784173;Actual
Producto A;Tramo 1;202204;Grupo 2;874;0.040045767;Actual
Producto A;Tramo 1;202204;Grupo 3;1194;0.097152429;Actual
Producto A;Tramo 1;202204;Grupo 4;182;0.236263736;Actual
Producto A;Tramo 1;202204;Grupo 5;22;0.545454545;Actual
Producto A;Tramo 1;202205;Grupo 1;407;0.029484029;Actual
Producto A;Tramo 1;202205;Grupo 2;887;0.042841037;Actual
Producto A;Tramo 1;202205;Grupo 3;1149;0.093994778;Actual
Producto A;Tramo 1;202205;Grupo 4;201;0.273631841;Actual
Producto A;Tramo 1;202205;Grupo 5;15;0.266666667;Actual
Producto A;Tramo 1;202206;Grupo 1;609;0.019704433;Actual
Producto A;Tramo 1;202206;Grupo 2;1281;0.027322404;Actual
Producto A;Tramo 1;202206;Grupo 3;1625;0.084307692;Actual
Producto A;Tramo 1;202206;Grupo 4;237;0.219409283;Actual
Producto A;Tramo 1;202206;Grupo 5;16;0.25;Actual
Producto A;Tramo 1;202207;Grupo 1;886;0.014672686;Actual
Producto A;Tramo 1;202207;Grupo 2;1412;0.032577904;Actual
Producto A;Tramo 1;202207;Grupo 3;1534;0.089308996;Actual
Producto A;Tramo 1;202207;Grupo 4;240;0.258333333;Actual
Producto A;Tramo 1;202207;Grupo 5;17;0.529411765;Actual
Producto A;Tramo 1;202201;Grupo 1;447;0.031319911;Nuevo
Producto A;Tramo 1;202201;Grupo 2;1003;0.058823529;Nuevo
Producto A;Tramo 1;202201;Grupo 3;585;0.107692308;Nuevo
Producto A;Tramo 1;202201;Grupo 4;407;0.181818182;Nuevo
Producto A;Tramo 1;202201;Grupo 5;136;0.272058824;Nuevo
Producto A;Tramo 1;202202;Grupo 1;1330;0.006766917;Nuevo
Producto A;Tramo 1;202202;Grupo 2;2949;0.02712784;Nuevo
Producto A;Tramo 1;202202;Grupo 3;1513;0.065432915;Nuevo
Producto A;Tramo 1;202202;Grupo 4;1043;0.127516779;Nuevo
Producto A;Tramo 1;202202;Grupo 5;303;0.237623762;Nuevo
Producto A;Tramo 1;202203;Grupo 1;279;0.014336918;Nuevo
Producto A;Tramo 1;202203;Grupo 2;740;0.051351351;Nuevo
Producto A;Tramo 1;202203;Grupo 3;516;0.106589147;Nuevo
Producto A;Tramo 1;202203;Grupo 4;379;0.168865435;Nuevo
Producto A;Tramo 1;202203;Grupo 5;147;0.306122449;Nuevo
Producto A;Tramo 1;202204;Grupo 1;362;0.013812155;Nuevo
Producto A;Tramo 1;202204;Grupo 2;1035;0.022222222;Nuevo
Producto A;Tramo 1;202204;Grupo 3;732;0.076502732;Nuevo
Producto A;Tramo 1;202204;Grupo 4;501;0.163672655;Nuevo
Producto A;Tramo 1;202204;Grupo 5;201;0.268656716;Nuevo
Producto A;Tramo 1;202205;Grupo 1;321;0.00623053;Nuevo
Producto A;Tramo 1;202205;Grupo 2;949;0.037934668;Nuevo
Producto A;Tramo 1;202205;Grupo 3;690;0.073913043;Nuevo
Producto A;Tramo 1;202205;Grupo 4;509;0.143418468;Nuevo
Producto A;Tramo 1;202205;Grupo 5;194;0.283505155;Nuevo
Producto A;Tramo 1;202206;Grupo 1;458;0.013100437;Nuevo
Producto A;Tramo 1;202206;Grupo 2;1422;0.02742616;Nuevo
