Productos;Unidades;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Carnes;kg/hab;70.5;70.2;70.8;73.7;75;79;81;81.2;79.1;81.9;84.7
Carne bovina;kg/hab;22.1;22.1;23.1;23.9;24.6;21.7;23.5;22;22.5;23.6;21.7
Carne ovina;kg/hab;0.4;0.4;0.3;0.3;0.2;0.3;0.3;0.4;0.3;0.2;0.3
Carne porcina;kg/hab;17.9;19.4;19.1;18.3;19.3;22.5;23.5;25;24;24.4;25.6
Carne aviar;kg/hab;29.4;27.6;27.7;30.6;30.3;33.9;33.2;33.3;31.9;33.3;36.7
Otras carnes;kg/hab;0.7;0.7;0.6;0.6;0.5;0.6;0.5;0.5;0.4;0.4;0.5
Productos lácteos(1);lt/hab;124.9;118.6;125.2;119.4;123.6;129.4;126;132.2;126.1;132;138.5
Quesos y quesillos;kg/hab;0;0;0;5.4;5.8;6.1;5.6;5.5;5.8;6.4;7.2
Yogurt;kg/hab;0;0;0;10;11.8;10.7;10.9;11.9;12.3;12.5;13.8
Huevos;unid./hab;165;168;156;156;152;164;165;168;172;179;185
Aceite oliva;lt/hab;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.5;0.6;0.8
Azúcar;kg/hab;40.2;44.4;32;38.8;39.1;33.9;46.5;36.3;43.3;39.9;45.5
Papa;kg/hab;63;67;56;58;56;69;41;48;45;53;74.8
Leguminosas;kg/hab;4.5;3.4;3.5;4;3.8;4.3;2.7;3.2;3.1;3;2.7
Poroto;kg/hab;2.7;1.8;2;2.4;2.2;2.4;1;1.4;1.6;1.1;1.3
Lenteja;kg/hab;1;0.9;0.9;1;1;1.2;1;0.9;0.8;1.1;0.8
Garbanzo;kg/hab;0.3;0.3;0.2;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
Arveja;kg/hab;0.5;0.4;0.4;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.4
Manzana;kg/hab;11.1;10.1;11;11.8;12.1;13.4;14.4;13.6;12.7;14.3;13.7
Uva de mesa;kg/hab;5.9;6.4;6.7;6.9;7.1;7.6;7.4;7.5;7.7;7.6;7.9
Plátanos;kg/hab;9.5;9.5;10;10;10.3;10.3;10.7;10.4;10.6;10.2;10.7
Palta;kg/hab;5;3.9;2.7;2.9;3.2;3.2;3.8;2.2;3.9;3.4;3.1
Vino;lt/hab;14.5;14.6;16;15.8;16.3;14.5;17.9;14;18.4;18.9;19.6
Pan;kg/hab;83;84;86;87;87;86;87;87;85;86;0
Arroz;kg/hab;11.8;10.7;14.2;10.4;10.4;12.6;11.1;12.1;11.8;10;11.1
